#Position (bp)	mapping quality
2.301620006E9	0.0
2.303877404E9	0.0
2.3099822495E9	0.0
2.3177208835E9	0.0
2.3254595175E9	0.0
2.3331981515E9	0.0
2.3409367855E9	0.0
2.3486754195E9	0.0
2.3564140535E9	0.0
2.3641526875E9	0.0
2.3718913215E9	0.0
2.3796299555E9	0.0
2.3873685895E9	0.0
2.3951072235E9	0.0
2.4013048025E9	0.0
2.4038571885E9	0.0
2.4053982435E9	0.0
2.4105844915E9	0.0
2.4183231255E9	0.0
2.4260617595E9	0.0
2.4338003935E9	0.0
2.4415390275E9	0.0
2.4492776615E9	0.0
2.4570162955E9	0.0
2.4647549295E9	0.0
2.4724935635E9	0.0
2.4802321975E9	0.0
2.4879708315E9	0.0
2.493129903E9	0.0
2.495356037E9	0.0
2.4979355995E9	0.0
2.5034480995E9	0.0
2.5111867335E9	0.0
2.5189253675E9	0.0
2.5266640015E9	0.0
2.5344026355E9	0.0
2.5421412695E9	0.0
2.5498799035E9	0.0
2.5576185375E9	0.0
2.5653571715E9	0.0
2.5730958055E9	0.0
2.57825749E9	0.0
2.579642653E9	0.0
2.579875868E9	0.0
2.580072563E9	0.0
2.5824162975E9	0.0
2.5885730735E9	0.0
2.5963117075E9	0.0
2.6040503415E9	0.0
2.6117889755E9	0.0
2.6195276095E9	0.0
2.6272662435E9	0.0
2.6350048775E9	0.0
2.6427435115E9	0.0
2.6504821455E9	0.0
2.657426793E9	0.0
2.66129611E9	0.0
2.6659594135E9	0.0
2.6736980475E9	0.0
2.6814366815E9	0.0
2.6891753155E9	0.0
2.6969139495E9	0.0
2.7046525835E9	0.0
2.7123912175E9	0.0
2.717690137E9	0.0
2.721559454E9	0.0
2.7278684855E9	0.0
2.7356071195E9	0.0
2.7433457535E9	0.0
2.7510843875E9	0.0
2.7588230215E9	0.0
2.7665616555E9	0.0
2.7743002895E9	0.0
2.7808667565E9	0.0
2.7847360735E9	0.0
2.7897775575E9	0.0
2.7975161915E9	0.0
2.8052548255E9	0.0
2.8129934595E9	0.0
2.8207320935E9	0.0
2.82743765E9	0.0
2.831306967E9	0.0
2.8362093615E9	0.0
2.8439479955E9	0.0
2.8516866295E9	0.0
2.8594252635E9	0.0
2.8671638975E9	0.0
2.8749025315E9	0.0
2.879932103E9	0.0
2.8811677345E9	0.0
2.881263883E9	0.0
2.8813745405E9	0.0
2.8815469515E9	0.0
2.881650882E9	0.0
2.8817632475E9	0.0
2.8819061265E9	0.0
2.882007733E9	0.0
2.882094413E9	0.0
2.88213969E9	54.61838189501517
2.8843292285E9	0.0
2.8903797995E9	0.0
2.8981184335E9	0.0
2.9058570675E9	0.0
2.9135957015E9	0.0
2.9213343355E9	0.0
2.9290729695E9	0.0
2.9368116035E9	0.0
2.9445502375E9	0.0
2.9522888715E9	0.0
2.9600275055E9	0.0
2.9677661395E9	0.0
2.9755047735E9	0.0
2.9832434075E9	0.0
2.9909820415E9	0.0
2.9987206755E9	0.0
3.0064593095E9	0.0
3.0141979435E9	0.0
3.0219365775E9	0.0
3.0296752115E9	0.0
3.035866699E9	0.0
3.039736016E9	0.06640321998053032
3.0451524795E9	7.519748545938026
3.0528911135E9	11.862407533461875
3.0606297475E9	1.2018564191441141
3.0683683815E9	9.846126281086505
3.0761070155E9	0.0
3.0838456495E9	0.0
3.0915656255E9	28.140350992351973
3.0954349045E9	0.0
