#Position (bp)	insert size
2.9909820415E9	693.888300607638
2.9987206755E9	457.44508159589867
3.0064593095E9	379.8379125104072
3.0141979435E9	439.4210972788366
3.0219365775E9	380.37301587301585
3.0296752115E9	428.3966357346269
3.035866699E9	383.19747362546553
3.039736016E9	382.4246866762244
3.0451524795E9	31796.607187661426
3.0528911135E9	54540.188620588
3.0606297475E9	377.3290598290598
3.0683683815E9	319.0278833967047
3.0761070155E9	0.0
3.0838456495E9	0.0
3.0915656255E9	371.3399959620432
3.0954349045E9	0.0
