#Coverage	Number of genomic locations
1688.0	39.0
1689.0	24.0
1690.0	37.0
1691.0	31.0
1692.0	22.0
1693.0	35.0
1694.0	29.0
1695.0	34.0
1696.0	24.0
1697.0	32.0
1698.0	38.0
1699.0	38.0
1700.0	34.0
1701.0	32.0
1702.0	37.0
1703.0	28.0
1704.0	30.0
1705.0	35.0
1706.0	30.0
1707.0	29.0
1708.0	34.0
1709.0	36.0
1710.0	45.0
1711.0	32.0
1712.0	26.0
1713.0	46.0
1714.0	36.0
1715.0	39.0
1716.0	31.0
1717.0	38.0
1718.0	39.0
1719.0	36.0
1720.0	29.0
1721.0	32.0
1722.0	40.0
1723.0	37.0
1724.0	39.0
1725.0	42.0
1726.0	44.0
1727.0	38.0
1728.0	32.0
1729.0	44.0
1730.0	38.0
1731.0	33.0
1732.0	32.0
1733.0	32.0
1734.0	32.0
1735.0	32.0
1736.0	32.0
1737.0	34.0
1738.0	35.0
1739.0	41.0
1740.0	37.0
1741.0	37.0
1742.0	39.0
1743.0	33.0
1744.0	31.0
1745.0	49.0
1746.0	34.0
1747.0	39.0
1748.0	39.0
1749.0	38.0
1750.0	38.0
1751.0	25.0
1752.0	43.0
1753.0	37.0
1754.0	39.0
1755.0	34.0
1756.0	37.0
1757.0	33.0
1758.0	40.0
1759.0	32.0
1760.0	44.0
1761.0	37.0
1762.0	46.0
1763.0	40.0
1764.0	39.0
1765.0	31.0
1766.0	44.0
1767.0	35.0
1768.0	32.0
1769.0	33.0
1770.0	47.0
1771.0	34.0
1772.0	38.0
1773.0	42.0
1774.0	40.0
1775.0	27.0
1776.0	34.0
1777.0	41.0
1778.0	42.0
1779.0	34.0
1780.0	37.0
1781.0	43.0
1782.0	33.0
1783.0	37.0
1784.0	30.0
1785.0	41.0
1786.0	30.0
1787.0	36.0
1788.0	34.0
1789.0	37.0
1790.0	46.0
1791.0	38.0
1792.0	36.0
1793.0	38.0
1794.0	30.0
1795.0	45.0
1796.0	41.0
1797.0	36.0
1798.0	45.0
1799.0	41.0
1800.0	39.0
1801.0	48.0
1802.0	50.0
1803.0	29.0
1804.0	34.0
1805.0	42.0
1806.0	51.0
1807.0	56.0
1808.0	37.0
1809.0	35.0
1810.0	36.0
1811.0	41.0
1812.0	37.0
1813.0	43.0
1814.0	35.0
1815.0	33.0
1816.0	29.0
1817.0	35.0
1818.0	44.0
1819.0	48.0
1820.0	37.0
1821.0	47.0
1822.0	39.0
1823.0	39.0
1824.0	37.0
1825.0	38.0
1826.0	25.0
1827.0	33.0
1828.0	34.0
1829.0	37.0
1830.0	32.0
1831.0	28.0
1832.0	31.0
1833.0	33.0
1834.0	29.0
1835.0	29.0
1836.0	39.0
1837.0	31.0
1838.0	38.0
1839.0	44.0
1840.0	33.0
1841.0	39.0
1842.0	22.0
1843.0	33.0
1844.0	22.0
1845.0	27.0
1846.0	29.0
1847.0	20.0
1848.0	33.0
1849.0	19.0
1850.0	33.0
1851.0	17.0
1852.0	22.0
1853.0	21.0
1854.0	26.0
1855.0	23.0
1856.0	23.0
1857.0	43.0
1858.0	20.0
1859.0	32.0
1860.0	25.0
1861.0	29.0
1862.0	27.0
1863.0	35.0
1864.0	36.0
1865.0	26.0
1866.0	36.0
1867.0	24.0
1868.0	20.0
1869.0	23.0
1870.0	30.0
1871.0	20.0
1872.0	28.0
1873.0	27.0
1874.0	26.0
1875.0	22.0
1876.0	23.0
1877.0	16.0
1878.0	27.0
1879.0	23.0
1880.0	17.0
1881.0	16.0
1882.0	15.0
1883.0	19.0
1884.0	19.0
1885.0	13.0
1886.0	18.0
1887.0	21.0
1888.0	18.0
1889.0	18.0
1890.0	23.0
1891.0	24.0
1892.0	16.0
1893.0	15.0
1894.0	14.0
1895.0	19.0
1896.0	13.0
1897.0	12.0
1898.0	16.0
1899.0	18.0
1900.0	19.0
1901.0	23.0
1902.0	22.0
1903.0	16.0
1904.0	15.0
1905.0	16.0
1906.0	20.0
1907.0	16.0
1908.0	22.0
1909.0	14.0
1910.0	17.0
1911.0	12.0
1912.0	23.0
1913.0	15.0
1914.0	17.0
1915.0	16.0
1916.0	28.0
1917.0	17.0
1918.0	27.0
1919.0	19.0
1920.0	27.0
1921.0	24.0
1922.0	17.0
1923.0	20.0
1924.0	20.0
1925.0	23.0
1926.0	16.0
1927.0	18.0
1928.0	14.0
1929.0	19.0
1930.0	25.0
1931.0	28.0
1932.0	23.0
1933.0	14.0
1934.0	24.0
1935.0	15.0
1936.0	11.0
1937.0	17.0
1938.0	12.0
1939.0	19.0
1940.0	18.0
1941.0	8.0
1942.0	15.0
1943.0	11.0
1944.0	16.0
1945.0	18.0
1946.0	17.0
1947.0	16.0
1948.0	19.0
1949.0	15.0
1950.0	16.0
1951.0	17.0
1952.0	12.0
1953.0	6.0
1954.0	10.0
1955.0	12.0
1956.0	8.0
1957.0	16.0
1958.0	9.0
1959.0	15.0
1960.0	17.0
1961.0	10.0
1962.0	15.0
1963.0	13.0
1964.0	16.0
1965.0	14.0
1966.0	11.0
1967.0	11.0
1968.0	8.0
1969.0	15.0
1970.0	11.0
1971.0	13.0
1972.0	9.0
1973.0	14.0
1974.0	17.0
1975.0	12.0
1976.0	4.0
1977.0	6.0
1978.0	11.0
1979.0	11.0
1980.0	5.0
1981.0	9.0
1982.0	7.0
1983.0	5.0
1984.0	12.0
1985.0	11.0
1986.0	9.0
1987.0	9.0
1988.0	8.0
1989.0	7.0
1990.0	10.0
1991.0	8.0
1992.0	7.0
1993.0	9.0
1994.0	18.0
1995.0	5.0
1996.0	13.0
1997.0	10.0
1998.0	13.0
1999.0	10.0
2000.0	9.0
2001.0	8.0
2002.0	8.0
2003.0	8.0
2004.0	7.0
2005.0	12.0
2006.0	13.0
2007.0	10.0
2008.0	14.0
2009.0	15.0
2010.0	4.0
2011.0	3.0
2012.0	5.0
2013.0	8.0
2014.0	5.0
2015.0	9.0
2016.0	3.0
2017.0	8.0
2018.0	1.0
2019.0	8.0
2020.0	5.0
2021.0	4.0
2022.0	6.0
2023.0	4.0
2024.0	5.0
2025.0	6.0
2026.0	5.0
2027.0	3.0
2028.0	4.0
2029.0	5.0
2030.0	6.0
2031.0	1.0
2032.0	5.0
2033.0	3.0
2034.0	6.0
2035.0	4.0
2036.0	5.0
2037.0	4.0
2038.0	11.0
2039.0	9.0
2040.0	4.0
2041.0	8.0
2042.0	4.0
2043.0	4.0
2044.0	2.0
2045.0	6.0
2046.0	4.0
2047.0	11.0
2048.0	2.0
2049.0	7.0
2050.0	3.0
2051.0	4.0
2052.0	3.0
2053.0	4.0
2054.0	4.0
2055.0	8.0
2056.0	6.0
2057.0	6.0
2058.0	5.0
2059.0	2.0
2060.0	5.0
2061.0	8.0
2062.0	4.0
2063.0	1.0
2064.0	5.0
2065.0	3.0
2066.0	3.0
2067.0	6.0
2068.0	2.0
2069.0	4.0
2070.0	5.0
2071.0	3.0
2072.0	6.0
2073.0	1.0
2074.0	8.0
2075.0	5.0
2076.0	7.0
2077.0	5.0
2078.0	7.0
2079.0	8.0
2080.0	10.0
2081.0	2.0
2082.0	2.0
2084.0	6.0
2085.0	7.0
2086.0	6.0
2087.0	6.0
2088.0	4.0
2089.0	8.0
2090.0	4.0
2091.0	2.0
2092.0	4.0
2093.0	4.0
2094.0	7.0
2095.0	6.0
2096.0	3.0
2097.0	4.0
2098.0	4.0
2099.0	2.0
2100.0	4.0
2101.0	4.0
2102.0	4.0
2103.0	2.0
2104.0	3.0
2105.0	2.0
2106.0	4.0
2107.0	3.0
2108.0	3.0
2109.0	6.0
2110.0	4.0
2112.0	5.0
2113.0	4.0
2114.0	5.0
2115.0	7.0
2116.0	3.0
2117.0	2.0
2118.0	8.0
2119.0	5.0
2120.0	7.0
2121.0	6.0
2122.0	5.0
2123.0	11.0
2124.0	8.0
2125.0	6.0
2126.0	8.0
2127.0	10.0
2128.0	8.0
2129.0	7.0
2130.0	2.0
2131.0	4.0
2132.0	5.0
2133.0	2.0
2134.0	8.0
2135.0	4.0
2136.0	8.0
2137.0	7.0
2138.0	9.0
2139.0	7.0
2140.0	3.0
2141.0	9.0
2142.0	2.0
2143.0	4.0
2144.0	3.0
2145.0	3.0
2146.0	5.0
2147.0	2.0
2148.0	4.0
2149.0	8.0
2150.0	3.0
2151.0	4.0
2153.0	5.0
2154.0	2.0
2155.0	4.0
2156.0	6.0
2157.0	3.0
2158.0	5.0
2159.0	4.0
2160.0	3.0
2161.0	3.0
2162.0	1.0
2163.0	2.0
2164.0	2.0
2165.0	4.0
2166.0	3.0
2167.0	1.0
2168.0	1.0
2169.0	1.0
2170.0	5.0
2171.0	5.0
2172.0	2.0
2173.0	6.0
2174.0	2.0
2175.0	2.0
2176.0	4.0
2177.0	1.0
2178.0	3.0
2180.0	2.0
2182.0	1.0
2184.0	5.0
2185.0	2.0
2188.0	1.0
2189.0	3.0
2190.0	3.0
2191.0	2.0
2192.0	4.0
2193.0	1.0
2194.0	1.0
2195.0	2.0
2196.0	1.0
2199.0	3.0
2200.0	3.0
2202.0	1.0
2204.0	2.0
2205.0	2.0
2206.0	1.0
2207.0	1.0
2208.0	3.0
2209.0	2.0
2210.0	2.0
2211.0	2.0
2212.0	2.0
2213.0	2.0
2214.0	1.0
2215.0	3.0
2216.0	3.0
2217.0	1.0
2218.0	3.0
2219.0	1.0
2220.0	3.0
2221.0	7.0
2222.0	4.0
2223.0	1.0
2224.0	2.0
2225.0	3.0
2226.0	2.0
2227.0	2.0
2228.0	2.0
2229.0	1.0
2230.0	2.0
2231.0	2.0
2232.0	4.0
2234.0	2.0
2235.0	3.0
2236.0	3.0
2238.0	1.0
2240.0	1.0
2242.0	1.0
2243.0	1.0
2244.0	1.0
2245.0	1.0
2247.0	1.0
2249.0	1.0
2250.0	1.0
2252.0	3.0
2253.0	1.0
2254.0	1.0
2255.0	2.0
2256.0	1.0
2258.0	2.0
2259.0	1.0
2260.0	2.0
2261.0	3.0
2263.0	4.0
2264.0	1.0
2265.0	1.0
2266.0	3.0
2267.0	2.0
2269.0	3.0
2270.0	3.0
2271.0	3.0
2272.0	2.0
2273.0	3.0
2274.0	6.0
2275.0	3.0
2276.0	2.0
2279.0	2.0
2281.0	1.0
2282.0	1.0
2283.0	1.0
2284.0	3.0
2287.0	1.0
2290.0	2.0
2295.0	1.0
2297.0	2.0
2298.0	1.0
2301.0	2.0
2302.0	1.0
2304.0	1.0
2305.0	1.0
2310.0	1.0
2316.0	1.0
2317.0	1.0
2318.0	1.0
2319.0	1.0
2325.0	1.0
2326.0	1.0
2334.0	2.0
2335.0	1.0
2340.0	1.0
2342.0	1.0
2343.0	3.0
2345.0	2.0
2350.0	1.0
2353.0	1.0
2356.0	1.0
2358.0	1.0
2359.0	1.0
2361.0	1.0
2362.0	1.0
2363.0	1.0
2364.0	2.0
2368.0	1.0
2372.0	1.0
2376.0	2.0
2378.0	1.0
2379.0	1.0
2380.0	1.0
2381.0	1.0
2385.0	1.0
2391.0	1.0
2396.0	2.0
2400.0	1.0
2403.0	1.0
2406.0	1.0
2410.0	1.0
2419.0	1.0
2427.0	1.0
2433.0	1.0
2439.0	1.0
2441.0	1.0
2443.0	2.0
2446.0	3.0
2448.0	2.0
2456.0	1.0
2457.0	1.0
2462.0	1.0
2464.0	1.0
2465.0	1.0
2469.0	1.0
2476.0	1.0
2478.0	1.0
2480.0	1.0
2484.0	2.0
2491.0	1.0
2494.0	3.0
2499.0	1.0
2501.0	1.0
2508.0	2.0
2510.0	1.0
2515.0	1.0
2521.0	1.0
2528.0	1.0
2530.0	2.0
2535.0	1.0
2537.0	1.0
2544.0	1.0
2553.0	1.0
2555.0	1.0
2558.0	1.0
2560.0	1.0
2569.0	1.0
2572.0	1.0
2580.0	1.0
2584.0	1.0
2588.0	1.0
2593.0	1.0
2594.0	1.0
2597.0	1.0
2598.0	1.0
2609.0	1.0
2612.0	1.0
2616.0	1.0
2617.0	1.0
2620.0	1.0
2621.0	1.0
2623.0	1.0
2628.0	1.0
2636.0	1.0
2637.0	1.0
2640.0	1.0
2641.0	2.0
2645.0	1.0
2646.0	1.0
2649.0	1.0
2651.0	1.0
2657.0	1.0
2665.0	1.0
2672.0	2.0
2673.0	1.0
2692.0	1.0
2696.0	1.0
2700.0	1.0
2707.0	1.0
2708.0	1.0
2710.0	1.0
2719.0	1.0
2728.0	1.0
2731.0	1.0
2734.0	1.0
2751.0	1.0
2756.0	1.0
2759.0	1.0
2764.0	2.0
2769.0	1.0
2770.0	1.0
2787.0	1.0
2789.0	1.0
2791.0	1.0
2794.0	1.0
2800.0	1.0
2807.0	1.0
2808.0	1.0
2814.0	1.0
2818.0	2.0
2820.0	1.0
2825.0	1.0
2831.0	1.0
2833.0	1.0
2834.0	1.0
2838.0	1.0
2841.0	1.0
2843.0	1.0
2848.0	1.0
2856.0	1.0
2860.0	1.0
2865.0	1.0
2868.0	1.0
2869.0	1.0
2874.0	2.0
2875.0	2.0
2879.0	1.0
2881.0	2.0
2882.0	1.0
2884.0	1.0
2885.0	1.0
2886.0	1.0
2887.0	1.0
2888.0	2.0
2889.0	3.0
2890.0	1.0
2891.0	2.0
2892.0	1.0
2893.0	9.0
2894.0	1.0
2895.0	2.0
2897.0	1.0
2898.0	4.0
2900.0	3.0
2901.0	1.0
2902.0	1.0
2906.0	1.0
2908.0	4.0
2909.0	1.0
2910.0	1.0
2913.0	1.0
2915.0	1.0
2917.0	1.0
2918.0	1.0
2920.0	1.0
2925.0	2.0
2926.0	2.0
2927.0	5.0
2929.0	2.0
2930.0	2.0
2931.0	3.0
2932.0	1.0
2933.0	1.0
2934.0	2.0
2935.0	1.0
2957.0	1.0
2961.0	1.0
2985.0	1.0
2990.0	1.0
3006.0	1.0
3025.0	1.0
3033.0	1.0
3049.0	1.0
3057.0	1.0
3069.0	1.0
3089.0	1.0
3120.0	1.0
3121.0	1.0
3149.0	1.0
3163.0	1.0
3183.0	1.0
3226.0	1.0
3236.0	1.0
3259.0	1.0
3284.0	1.0
3303.0	1.0
3307.0	1.0
3352.0	1.0
3353.0	1.0
3395.0	1.0
3397.0	1.0
3399.0	1.0
3401.0	1.0
3404.0	1.0
3406.0	1.0
3417.0	1.0
3421.0	1.0
3422.0	1.0
3425.0	1.0
3427.0	1.0
3428.0	1.0
3432.0	1.0
3438.0	1.0
3439.0	1.0
3455.0	1.0
3462.0	1.0
3553.0	1.0
3586.0	1.0
3676.0	1.0
3728.0	1.0
3822.0	1.0
3823.0	1.0
3825.0	1.0
3827.0	2.0
3828.0	1.0
3830.0	1.0
3947.0	1.0
3958.0	1.0
4355.0	1.0
4496.0	1.0
4675.0	1.0
4771.0	1.0
4894.0	1.0
5139.0	1.0
5243.0	1.0
5295.0	1.0
5392.0	1.0
5449.0	1.0
5481.0	1.0
5520.0	1.0
5554.0	1.0
5580.0	1.0
5594.0	1.0
5661.0	1.0
5720.0	1.0
5758.0	1.0
5771.0	1.0
5788.0	1.0
5804.0	1.0
5818.0	1.0
5820.0	1.0
5821.0	1.0
5863.0	1.0
5876.0	1.0
5878.0	1.0
5909.0	1.0
5933.0	1.0
5988.0	1.0
6007.0	1.0
6014.0	1.0
6114.0	1.0
6134.0	1.0
6162.0	1.0
6196.0	1.0
6249.0	1.0
6260.0	1.0
6288.0	1.0
6290.0	1.0
6331.0	1.0
6363.0	1.0
6371.0	1.0
6428.0	1.0
6459.0	1.0
6498.0	1.0
6510.0	1.0
6531.0	1.0
6535.0	1.0
6606.0	1.0
6611.0	1.0
6621.0	1.0
6644.0	1.0
6695.0	1.0
6697.0	1.0
6701.0	1.0
6709.0	1.0
6763.0	1.0
6765.0	1.0
6777.0	1.0
6788.0	1.0
6807.0	1.0
6840.0	1.0
6841.0	1.0
6847.0	1.0
6859.0	1.0
6868.0	1.0
6883.0	1.0
6885.0	1.0
6899.0	1.0
6900.0	1.0
6902.0	1.0
6905.0	1.0
6925.0	1.0
6938.0	4.0
6959.0	1.0
6965.0	1.0
6973.0	1.0
6988.0	1.0
7001.0	2.0
7018.0	1.0
7027.0	1.0
7032.0	1.0
7033.0	1.0
7041.0	2.0
7043.0	1.0
7056.0	1.0
7059.0	1.0
7070.0	1.0
7086.0	1.0
7099.0	1.0
7104.0	1.0
7141.0	1.0
7145.0	1.0
7164.0	1.0
7167.0	1.0
7181.0	1.0
7190.0	1.0
7208.0	1.0
7214.0	1.0
7223.0	1.0
7225.0	1.0
7228.0	1.0
7229.0	1.0
7232.0	1.0
7236.0	1.0
7238.0	1.0
7282.0	1.0
7286.0	1.0
7305.0	1.0
7327.0	1.0
7330.0	1.0
7338.0	1.0
7358.0	1.0
7364.0	1.0
7396.0	1.0
7398.0	2.0
7406.0	1.0
7408.0	1.0
7430.0	1.0
7433.0	1.0
7470.0	1.0
7473.0	1.0
7485.0	1.0
7495.0	1.0
7503.0	1.0
7506.0	1.0
7510.0	1.0
7540.0	1.0
7552.0	1.0
7557.0	1.0
7573.0	1.0
7580.0	1.0
7582.0	1.0
7590.0	1.0
7600.0	1.0
7603.0	1.0
7604.0	1.0
7606.0	1.0
7610.0	1.0
7623.0	1.0
7628.0	1.0
7637.0	1.0
7641.0	1.0
7644.0	1.0
7645.0	1.0
7654.0	1.0
7655.0	1.0
7664.0	1.0
7676.0	1.0
7684.0	2.0
7686.0	3.0
7694.0	1.0
7696.0	3.0
7697.0	3.0
